Reference, Quantity, Value, Footprint, Datasheet, Description, Package, PartNumber, Spice_Lib_File, Spice_Model, Spice_Netlist_Enabled, Spice_Node_Sequence, Spice_Primitive, Tolerance, Type, Voltage
C1 C8 ,2,"68p","Capacitor_SMD:C_0603_1608Metric_Pad1.05x0.95mm_HandSolder","","SMD Ceramic Capacitor NP0","0603","-","","","","","","-","NP0","50V"
C7 C14 ,2,"10u","Capacitor_Tantalum_SMD:CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder","","SMD Tantalum Capacitor","A-CASE","293D106X9010A2TE3","","","","","","-","Tantalum","10V"
C2 C4 C9 C11 ,4,"2.2u","Capacitor_Tantalum_SMD:CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder","","SMD Tantalum Capacitor","A-CASE","293D225X9010A2TE3","","","","","","-","Tantalum","10V"
C3 C10 ,2,"220p","Capacitor_SMD:C_0603_1608Metric_Pad1.05x0.95mm_HandSolder","","SMD Ceramic Capacitor NP0","0603","-","","","","","","-","NP0","50V"
C5 C6 C12 C13 ,4,"0.1u","Capacitor_SMD:C_0603_1608Metric_Pad1.05x0.95mm_HandSolder","","SMD Ceramic Capacitor X7R","0603","-","","","","","","-","X7R","16V"
D1 D3 ,2,"LMV721M5","Package_TO_SOT_SMD:SOT-23-5_HandSoldering","","OpAMP","SOT-23-5","LMV721M5","spice/lmv721.lib","lmv721","Y","3 4 1 5 2","X","","",""
D2 D4 ,2,"MCP3201BI/SN","Package_SO:SOP-8_3.76x4.96mm_P1.27mm","","ADC","SO-8-150","MCP3201BI/SN","","","","","","","",""
D5 ,1,"REF3030","Package_TO_SOT_SMD:SOT-23_Handsoldering","","LDO Reference Voltage Source","SOT-23-3","REF3030","","","","","","","",""
R1 R3 R6 R8 ,4,"6.8k","Capacitor_SMD:C_0603_1608Metric_Pad1.05x0.95mm_HandSolder","","SMD Resistor","0603","-","","","","","","1%","",""
R2 R4 R5 R7 R9 R10 ,6,"9.1k","Capacitor_SMD:C_0603_1608Metric_Pad1.05x0.95mm_HandSolder","","SMD Resistor","0603","-","","","","","","1%","",""
X1 ,1,"AUB-13","local:JACK_ST_AUB_13","","3.5mm Stereo Audio Jack Receptacle","","AUB-13","","","","","","","",""
X2 ,1,"PMOD_PERIPH","local:PMOD_PERIPH","","Right-angle 2.54mm pin-header","","PLD-12R (PLD-80R)","","","","","","","",""
X3 ,1,"RIGHT","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","","2.54mm 2-pin connector","","PLS-2 (PLS-40)","","","","","","","",""
X4 ,1,"LEFT","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","","2.54mm 2-pin connector","","PLS-2 (PLS-40)","","","","","","","",""
